Source,Target
0,10
0,12
0,20
0,38
0,61
0,71
0,73
0,85
0,87
0,90
0,91
0,99
1,13
1,29
1,30
1,42
1,45
1,47
1,77
1,89
1,49
2,11
2,18
2,19
2,24
2,44
2,54
2,58
2,63
2,76
2,95
3,15
3,27
3,37
3,48
3,51
3,60
3,65
3,66
3,82
3,88
3,44
4,5
4,9
4,34
4,39
4,43
4,52
4,67
4,69
4,70
4,72
4,78
4,83
4,84
5,9
5,34
5,39
5,43
5,52
5,67
5,69
5,70
5,72
5,78
5,83
5,84
6,7
6,14
6,17
6,33
6,46
6,55
6,56
6,57
6,59
6,64
6,75
6,92
6,96
7,14
7,17
7,33
7,46
7,55
7,56
7,57
7,59
7,64
7,75
7,92
7,96
8,21
8,23
8,35
8,40
8,41
8,49
8,50
8,68
8,74
8,79
8,80
8,81
8,86
8,93
9,34
9,39
9,43
9,52
9,67
9,69
9,70
9,72
9,78
9,83
9,84
9,50
10,12
10,20
10,38
10,61
10,71
10,73
10,85
10,87
10,90
10,91
10,99
11,18
11,19
11,24
11,44
11,54
11,58
11,63
11,76
11,95
11,67
12,20
12,38
12,61
12,71
12,73
12,85
12,87
12,90
12,91
12,99
13,29
13,30
13,42
13,45
13,47
13,77
13,89
14,17
14,33
14,46
14,55
14,56
14,57
14,59
14,64
14,75
14,92
14,96
14,70
14,25
15,27
15,37
15,48
15,51
15,60
15,65
15,66
15,82
15,88
16,22
16,25
16,26
16,28
16,31
16,32
16,36
16,53
16,62
16,94
16,97
16,98
16,49
17,33
17,46
17,55
17,56
17,57
17,59
17,64
17,75
17,92
17,96
18,19
18,24
18,44
18,54
18,58
18,63
18,76
18,95
19,24
19,44
19,54
19,58
19,63
19,76
19,95
19,98
20,38
20,61
20,71
20,73
20,85
20,87
20,90
20,91
20,99
20,92
21,23
21,35
21,40
21,41
21,49
21,50
21,68
21,74
21,79
21,80
21,81
21,86
21,93
21,64
21,78
22,25
22,26
22,28
22,31
22,32
22,36
22,53
22,62
22,94
22,97
22,98
23,35
23,40
23,41
23,49
23,50
23,68
23,74
23,79
23,80
23,81
23,86
23,93
24,44
24,54
24,58
24,63
24,76
24,95
25,26
25,28
25,31
25,32
25,36
25,53
25,62
25,94
25,97
25,98
26,28
26,31
26,32
26,36
26,53
26,62
26,94
26,97
26,98
27,37
27,48
27,51
27,60
27,65
27,66
27,82
27,88
28,31
28,32
28,36
28,53
28,62
28,94
28,97
28,98
28,74
28,84
29,30
29,42
29,45
29,47
29,77
29,89
30,42
30,45
30,47
30,77
30,89
31,32
31,36
31,53
31,62
31,94
31,97
31,98
31,80
32,36
32,53
32,62
32,94
32,97
32,98
33,46
33,55
33,56
33,57
33,59
33,64
33,75
33,92
33,96
34,39
34,43
34,52
34,67
34,69
34,70
34,72
34,78
34,83
34,84
35,40
35,41
35,49
35,50
35,68
35,74
35,79
35,80
35,81
35,86
35,93
35,88
36,53
36,62
36,94
36,97
36,98
37,48
37,51
37,60
37,65
37,66
37,82
37,88
38,61
38,71
38,73
38,85
38,87
38,90
38,91
38,99
39,43
39,52
39,67
39,69
39,70
39,72
39,78
39,83
39,84
40,41
40,49
40,50
40,68
40,74
40,79
40,80
40,81
40,86
40,93
41,49
41,50
41,68
41,74
41,79
41,80
41,81
41,86
41,93
42,45
42,47
42,77
42,89
43,52
43,67
43,69
43,70
43,72
43,78
43,83
43,84
44,54
44,58
44,63
44,76
44,95
45,47
45,77
45,89
45,79
45,99
46,55
46,56
46,57
46,59
46,64
46,75
46,92
46,96
47,77
47,89
48,51
48,60
48,65
48,66
48,82
48,88
48,72
49,50
49,68
49,74
49,79
49,80
49,81
49,86
49,93
50,68
50,74
50,79
50,80
50,81
50,86
50,93
51,60
51,65
51,66
51,82
51,88
51,98
52,67
52,69
52,70
52,72
52,78
52,83
52,84
53,62
53,94
53,97
53,98
54,58
54,63
54,76
54,95
55,56
55,57
55,59
55,64
55,75
55,92
55,96
56,57
56,59
56,64
56,75
56,92
56,96
56,62
57,59
57,64
57,75
57,92
57,96
58,63
58,76
58,95
59,64
59,75
59,92
59,96
60,65
60,66
60,82
60,88
60,71
61,71
61,73
61,85
61,87
61,90
61,91
61,99
62,94
62,97
62,98
63,76
63,95
64,75
64,92
64,96
65,66
65,82
65,88
65,99
65,92
66,82
66,88
67,69
67,70
67,72
67,78
67,83
67,84
68,74
68,79
68,80
68,81
68,86
68,93
69,70
69,72
69,78
69,83
69,84
70,72
70,78
70,83
70,84
71,73
71,85
71,87
71,90
71,91
71,99
72,78
72,83
72,84
73,85
73,87
73,90
73,91
73,99
73,74
74,79
74,80
74,81
74,86
74,93
75,92
75,96
76,95
77,89
78,83
78,84
79,80
79,81
79,86
79,93
80,81
80,86
80,93
81,86
81,93
82,88
82,98
83,84
85,87
85,90
85,91
85,99
85,92
86,93
87,90
87,91
87,99
90,91
90,99
91,99
92,96
94,97
94,98
97,98
